date,region,apple_driving,apple_walking,apple_transit,apple,google_retail,google_grocery,google_workplaces,google_residential,google,telco
2020-03-27,south,68.44,78.56,42.94,63.31333333333333,-34,-18,-50,17,-34.0,7.566970301235263e6
2020-03-28,capital,54.23,52.5,22.05,42.92666666666667,-53,-18,-33,11,-34.666666666666664,8.436758385991693e6
2020-03-28,central,65.83,71.92,38.65,58.800000000000004,-41,-15,-26,10,-27.333333333333332,7.1072641921326835e6
2020-03-28,north,76.51,86.12,,81.315,-38,-10,-25,10,-24.333333333333332,3.350638778202981e6
2020-03-28,zealand,70.75,92.28,51.33,71.45333333333333,-32,-10,-24,10,-22.0,4.215866930985248e6
2020-03-28,south,64.12,78.07,46.07,62.75333333333333,-38,-12,-26,10,-25.333333333333332,6.420774141340525e6
2020-03-29,capital,51.79,41.17,20.76,37.90666666666667,-48,-24,-33,10,-35.0,7.637830419719713e6
2020-03-29,central,62.21,59.41,38.99,53.53666666666667,-34,-23,-26,9,-27.666666666666668,6.370925502457835e6
2020-03-29,north,73.51,78.5,,76.005,-34,-16,-26,8,-25.333333333333332,3.023286892940257e6
2020-03-29,zealand,69.49,69.56,49.79,62.946666666666665,-28,-17,-25,8,-23.333333333333332,3.710750410855685e6
2020-03-29,south,59.27,60.64,46.45,55.45333333333334,-30,-22,-28,9,-26.666666666666668,5.675810867319717e6
2020-03-30,capital,57.39,43.56,21.9,40.949999999999996,-39,-21,-62,22,-40.666666666666664,9.465635566196196e6
2020-03-30,central,66.55,62.07,37.23,55.28333333333333,-31,-20,-53,18,-34.666666666666664,8.001061740096068e6
2020-03-30,north,73.85,74.11,,73.97999999999999,-31,-13,-49,16,-31.0,3.7635796058114865e6
2020-03-30,zealand,73.2,81.28,47.13,67.20333333333333,-23,-16,-51,17,-30.0,4.401966236452125e6
2020-03-30,south,68.19,68.49,46.9,61.193333333333335,-29,-18,-49,16,-32.0,7.266749986252644e6
2020-03-31,capital,64.5,49.33,22.95,45.593333333333334,-33,-9,-62,21,-34.666666666666664,9.9371113355718e6
2020-03-31,central,71.82,66.91,37.76,58.82999999999999,-24,-6,-52,17,-27.333333333333332,8.291478123097761e6
2020-03-31,north,79.64,86.76,,83.2,-22,1,-49,16,-23.333333333333332,3.8560097821808425e6
2020-03-31,zealand,79.76,88.08,53.9,73.91333333333334,-8,0,-50,15,-19.333333333333332,4.677784085929772e6
2020-03-31,south,73.42,78.39,47.54,66.45,-15,-1,-48,15,-21.333333333333332,7.691476859977079e6
2020-04-01,capital,62.28,44.64,23.53,43.48333333333333,-40,-17,-62,23,-39.666666666666664,9.641892947740944e6
2020-04-01,central,71.21,62.58,34.58,56.123333333333335,-31,-13,-52,18,-32.0,8.2066942091771625e6
2020-04-01,north,79.45,80.18,,79.815,-28,-6,-49,16,-27.666666666666668,3.888646903302988e6
2020-04-01,zealand,78.7,75.72,48.41,67.61,-18,-10,-50,17,-26.0,4.5141123817879e6
2020-04-01,south,73.26,67.11,45.11,61.826666666666675,-26,-10,-49,16,-28.333333333333332,7.553272601981978e6
2020-04-02,capital,62.32,42.96,24.53,43.27,-43,-17,-63,23,-41.0,9.724796627476485e6
2020-04-02,central,70.08,61.1,37.94,56.373333333333335,-33,-14,-53,19,-33.333333333333336,8.226246367558552e6
2020-04-02,north,77.72,68.79,,73.255,-33,-10,-50,18,-31.0,3.8600699571313756e6
