family,colleagues,friends,strangers,date,total
2.1394799626698098,4.771356775398161,3.1007414970628218,8.734253363670181,2020-09-24,13.134433770406153
2.124198900104943,4.761809064544271,3.084543486065298,8.758161905948436,2020-09-25,13.082455046262503
2.1106115940031738,4.751681937592146,3.0687284662007377,8.785732786977439,2020-09-26,13.030189645935605
2.099362911774355,4.740781118078026,3.053249954768652,8.816105255117746,2020-09-27,12.977649746660363
2.091099642128878,4.7289492327752845,3.0380532885350764,8.848331565802296,2020-09-28,12.924853904687687
2.0864507161712504,4.716071480828086,3.02307711122256,8.881392131816694,2020-09-29,12.871827085949779
2.0859992880464673,4.702079942875581,3.0082549558789444,8.914212677621837,2020-09-30,12.818600627478542
2.09024500873117,4.68695638609443,2.9935168953576388,8.945683050918511,2020-10-01,12.765212128690107
2.09955701466903,4.670733466284635,2.9787912329237427,8.974677305294797,2020-10-02,12.711705272227492
2.114120690896303,4.653494277792754,2.964006204222568,9.000074637303662,2020-10-03,12.658129574650657
2.1338836860711345,4.635370254529972,2.9490916615381124,9.020780740334148,2020-10-04,12.604540067872891
2.1585084768911496,4.616537478821454,2.933980711444416,9.035749126567062,2020-10-05,12.550996912854849
2.187339599814092,4.597211507391442,2.918611277608716,9.044001967302654,2020-10-06,12.497564947687241
2.219393234246923,4.577640873568447,2.9029275616482786,9.044650010939263,2020-10-07,12.444313172800786
2.253375075339784,4.55809946992192,2.886881376553882,9.036911156544251,2020-10-08,12.391314176650853
2.2877295325636995,4.5388780543250205,2.870433329251816,9.020127288765286,2020-10-09,12.338643505804265
2.3207195869722472,4.520275153374945,2.8535538313559585,8.99377901602846,2020-10-10,12.286378983928234
2.350532639631302,4.502587658966363,2.83622392002034,8.9574979976573,2020-10-11,12.234599984718228
2.375403965711834,4.486101425702844,2.8184358739956856,8.911076595630016,2020-10-12,12.183386664311483
2.3937465194039285,4.471082178195497,2.8001936134722003,8.854474641985723,2020-10-13,12.132819159204002
2.40427427742445,4.457767027985637,2.781512875988029,8.787823172106467,2020-10-14,12.082976756117944
2.4061063475954567,4.446356880070386,2.7624211645444285,8.711425035875484,2020-10-15,12.033937040652077
2.39884075856423,4.437009979431568,2.7429574680225874,8.625752361687793,2020-10-16,11.98577503187419
2.382589997665953,4.4298368095654945,2.7231717579703254,8.531440911086346,2020-10-17,11.938562310296708
2.357974565714597,4.424896509100831,2.7031242697559312,8.429281423092807,2020-10-18,11.892366146890257
2.32607549854466,4.422194920782702,2.6828845798942114,8.320208105828309,2020-10-19,11.847248640947527
2.2883513193219334,4.421684331210247,2.6625304949672457,8.20528448761895,2020-10-20,11.803265874699452
2.2465286129441955,4.423264901726209,2.6421467709281936,8.085686889388493,2020-10-21,11.76046709261157
2.2024778573770414,4.426787732823458,2.6218236846208667,7.962685823853873,2020-10-22,11.718893913239384
