date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated,week,region
2021-05-18,4642,9,3002.4285714285716,10.571428571428571,10230185,29.34872215339773,0.10333565396352627,3402181,0.3325629986163496,72,Sweden
2021-05-19,3410,7,2708.1428571428573,10.142857142857142,10230185,26.472080975494162,0.09914637069473467,3402181,0.3325629986163496,72,Sweden
2021-05-20,3166,12,2595.5714285714284,9.857142857142858,10230185,25.37169590355823,0.09635351518220694,3402181,0.3325629986163496,72,Sweden
2021-05-21,2317,12,2465.4285714285716,9.142857142857142,10230185,24.09955021760185,0.08937137640088759,3402181,0.3325629986163496,72,Sweden
2021-05-22,1909,9,2193.5714285714284,9.0,10230185,21.442148197431703,0.08797494864462373,3402181,0.3325629986163496,73,Sweden
2021-05-23,620,11,1909.2857142857142,9.285714285714286,10230185,18.663256962466605,0.09076780415715147,3651710,0.3569544441278432,73,Sweden
2021-05-24,1194,4,1470.142857142857,8.571428571428571,10230185,14.370638039711473,0.08378566537583212,3651710,0.3569544441278432,73,Sweden
2021-05-25,2739,8,1181.5714285714287,8.0,10230185,11.54985397205846,0.07819995435077665,3651710,0.3569544441278432,73,Sweden
2021-05-26,1420,9,949.5714285714286,7.142857142857143,10230185,9.282055295885934,0.06982138781319344,3651710,0.3569544441278432,73,Sweden
2021-05-27,92,7,1139.142857142857,6.714285714285714,10230185,11.13511492844809,0.06563210454440184,3651710,0.3569544441278432,73,Sweden
2021-05-28,297,8,1239.5714285714287,7.0,10230185,12.11680364110159,0.06842496005692957,3651710,0.3569544441278432,73,Sweden
2021-05-29,285,3,1245.857142857143,6.0,10230185,12.1782464623772,0.058649965763082484,3651710,0.3569544441278432,74,Sweden
2021-05-30,1947,8,1238.0,5.571428571428571,10230185,12.101442935782686,0.054460682494290875,3847576,0.37610033445142976,74,Sweden
2021-05-31,1897,6,1379.142857142857,5.428571428571429,10230185,13.481113558971389,0.05306425473802702,3847576,0.37610033445142976,74,Sweden
2021-06-01,2783,1,1478.0,6.285714285714286,10230185,14.447441566305987,0.061442821275610224,3847576,0.37610033445142976,74,Sweden
2021-06-02,1365,6,1545.5714285714287,6.285714285714286,10230185,15.107951895018795,0.061442821275610224,3847576,0.37610033445142976,74,Sweden
2021-06-03,1080,6,1299.142857142857,5.571428571428571,10230185,12.699114015463621,0.054460682494290875,3847576,0.37610033445142976,74,Sweden
2021-06-04,989,14,1098.142857142857,5.428571428571429,10230185,10.73434016240036,0.05306425473802702,3847576,0.37610033445142976,74,Sweden
2021-06-05,758,3,869.5714285714286,5.857142857142857,10230185,8.500055752378168,0.05725353800681861,3847576,0.37610033445142976,75,Sweden
2021-06-06,222,3,792.4285714285714,6.0,10230185,7.745984763995681,0.058649965763082484,4064164,0.39727179909258725,75,Sweden
2021-06-07,490,5,742.2857142857143,5.571428571428571,10230185,7.2558386215470625,0.054460682494290875,4064164,0.39727179909258725,75,Sweden
2021-06-08,1183,4,670.1428571428571,3.7142857142857144,10230185,6.550642604633808,0.036307121662860584,4064164,0.39727179909258725,75,Sweden
2021-06-09,825,7,636.7142857142857,3.5714285714285716,10230185,6.223878509668062,0.03491069390659672,4064164,0.39727179909258725,75,Sweden
2021-06-10,729,3,627.7142857142857,3.142857142857143,10230185,6.135903561023438,0.030721410637805112,4064164,0.39727179909258725,75,Sweden
2021-06-11,484,1,557.7142857142857,3.0,10230185,5.451653960454142,0.029324982881541242,4064164,0.39727179909258725,75,Sweden
2021-06-12,524,2,388.85714285714283,2.7142857142857144,10230185,3.8010763525502504,0.02653212736901351,4064164,0.39727179909258725,76,Sweden
2021-06-13,159,0,276.14285714285717,2.0,10230185,2.6992948528580585,0.01954998858769416,4333513,0.42360064847312145,76,Sweden
2021-06-14,0,4,484.85714285714283,1.7142857142857142,10230185,4.739475804759571,0.016757133075166422,4333513,0.42360064847312145,76,Sweden
2021-06-15,1,2,501.57142857142856,2.0,10230185,4.902857852242443,0.01954998858769416,4333513,0.42360064847312145,76,Sweden
2021-06-16,36,2,429.42857142857144,2.0,10230185,4.19766183532919,0.01954998858769416,4333513,0.42360064847312145,76,Sweden
2021-06-17,2190,1,406.85714285714283,2.4285714285714284,10230185,3.9770262498394975,0.023739271856485767,4333513,0.42360064847312145,76,Sweden
2021-06-18,601,3,503.7142857142857,2.142857142857143,10230185,4.923804268586401,0.02094641634395803,4333513,0.42360064847312145,76,Sweden
2021-06-19,19,2,575.7142857142857,2.2857142857142856,10230185,5.627603857743391,0.022342844100221897,4333513,0.42360064847312145,77,Sweden
2021-06-20,1,3,624.7142857142857,2.0,10230185,6.106578578141898,0.01954998858769416,4636429,0.45321067018827127,77,Sweden
2021-06-21,678,2,365.14285714285717,2.142857142857143,10230185,3.5692693450104485,0.02094641634395803,4636429,0.45321067018827127,77,Sweden
2021-06-22,505,3,283.7142857142857,2.0,10230185,2.7733055239400435,0.01954998858769416,4636429,0.45321067018827127,77,Sweden
2021-06-23,379,0,282.14285714285717,1.7142857142857142,10230185,2.757944818621141,0.016757133075166422,4636429,0.45321067018827127,77,Sweden
2021-06-24,373,2,283.14285714285717,1.2857142857142858,10230185,2.767719812914988,0.01256784980637482,4636429,0.45321067018827127,77,Sweden
2021-06-25,31,2,249.57142857142858,1.2857142857142858,10230185,2.439559290192979,0.01256784980637482,4636429,0.45321067018827127,77,Sweden
